"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-3237.46474783136,6.24399879797811,1.27041603915679e-17,11.8609500986598
"2","GTR","relaxed_log_normal","yule",-3225.87622400037,5.32549478621932,1.37018093811412e-12,9.12936560949278
"3","GTR","strict","birth_death",-3289.62968920264,6.81683991361967,2.81189941754017e-40,9.63003095120165
"4","GTR","strict","yule",-3238.40121307135,6.7723668530506,4.98017130838797e-18,10.7390492728601
"5","HKY","relaxed_log_normal","birth_death",-3216.21367574622,5.16287360327449,0.0000000215362115800426,7.20889736967493
"6","HKY","relaxed_log_normal","yule",-3208.76681180425,3.88551011723323,0.0000369233610267864,7.76357342904508
"7","HKY","strict","birth_death",-3223.0442640816,5.72843323735875,2.32638981073955e-11,11.3422690405986
"8","HKY","strict","yule",-3204.2851784526,3.6756515576491,0.00326324635257615,6.838237397373
"9","JC69","relaxed_log_normal","birth_death",-3218.73370961205,5.43237398340398,0.0000000017327364330639,6.26732846181215
"10","JC69","relaxed_log_normal","yule",-3205.00374453204,4.02966588279194,0.00159067178631802,5.19177820195566
"11","JC69","strict","birth_death",-3198.56505020831,2.73724338275498,0.995107486386317,5.15899571331806
"12","TN93","relaxed_log_normal","birth_death",-3217.44998926024,4.28071896571215,0.0000000062552572106631,8.60324249308777
"13","TN93","relaxed_log_normal","yule",-3233.49918502931,5.98883710521235,6.70143810410548e-16,9.78436359044745
"14","TN93","strict","birth_death",-3230.57103054989,5.58660463005311,1.25270653576667e-14,13.4057170143034
"15","TN93","strict","yule",-3211.87939725557,4.04033363840128,0.00000164256490991687,4.04909496312596
