Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-5154.666274587053	-5155.698879108694	N	-5154.666274587053	-1.0326045216418254
1	-4495.443845533616	-4496.763242564813	2.0	-4495.443845533616	-1.3193970311964147
2	-4351.286273544423	-4353.692890179752	3.0	-4351.286273544423	-2.406616635328623
3	-3999.3516453287743	-4006.1350046123493	4.0	-3999.3516453287743	-6.783359283574891
4	-3998.92584714036	-4005.280286180093	3.3	-3998.92584714036	-6.354439039732641
5	-3922.777427606612	-3928.947323373923	2.9	-3922.777427606612	-6.169895767311173
6	-3915.926219930288	-3927.161346680783	3.0	-3915.926219930288	-11.23512675049497
7	-3895.835414918241	-3900.986669009362	3.2	-3895.835414918241	-5.151254091120604
8	-3887.019351311753	-3894.75531940091	3.5	-3887.019351311753	-7.735968089157353
9	-3881.4366819021443	-3886.5699630824074	3.7	-3881.4366819021443	-5.133281180263102
10	-3845.2796564127093	-3852.5335741774006	4.0	-3845.2796564127093	-7.253917764691536
11	-3831.738324526429	-3837.9845941280755	4.2	-3831.738324526429	-6.2462696016463015
12	-3826.3648979288546	-3834.2608171571346	4.3	-3826.3648979288546	-7.89591922828007
13	-3815.83964256603	-3823.998592193406	4.3	-3815.83964256603	-8.15894962737577
14	-3815.1077135603	-3822.451874443397	4.4	-3815.1077135603	-7.344160883097156
15	-3812.5585320215005	-3820.9729189941136	4.5	-3812.5585320215005	-8.41438697261295
16	-3811.2753659875407	-3819.4075721222166	4.6	-3811.2753659875407	-8.13220613467606
17	-3796.366914732652	-3802.343008020087	4.6	-3796.366914732652	-5.9760932874352095
18	-3796.064094772805	-3805.390405801355	4.7	-3796.064094772805	-9.326311028549688
19	-3768.7937546460535	-3775.800762812599	4.6	-3768.7937546460535	-7.007008166545421
20	-3767.4049000274276	-3775.687295554673	4.6	-3767.4049000274276	-8.282395527245122
21	-3766.1951796954536	-3776.8733062971432	4.6	-3766.1951796954536	-10.678126601689451
22	-3766.0794741471304	-3772.889924617996	4.6	-3766.0794741471304	-6.810450470865327
23	-3761.4937422028856	-3768.599445216111	4.6	-3761.4937422028856	-7.105703013225277
24	-3760.8123164728017	-3768.6544980295153	4.5	-3760.8123164728017	-7.8421815567133395
25	-3760.0345164725964	-3767.682975894378	4.5	-3760.0345164725964	-7.648459421781841
26	-3752.2027571598433	-3761.659894826929	4.5	-3752.2027571598433	-9.457137667085782
27	-3751.468457109577	-3758.072595254426	4.5	-3751.468457109577	-6.604138144849227
28	-3750.5491601975577	-3758.908245643329	4.6	-3750.5491601975577	-8.359085445771324
29	-3749.4988518523564	-3757.9314973725154	3.0	-3749.4988518523564	-8.432645520159161
30	-3747.195953395504	-3754.846419477626	3.0	-3747.195953395504	-7.650466082121944
31	-3743.566692235489	-3750.660419324177	3.0	-3743.566692235489	-7.093727088687765
32	-3742.893400828019	-3751.6865029912015	3.0	-3742.893400828019	-8.793102163182633
33	-3742.8379696749307	-3749.951261336268	3.0	-3742.8379696749307	-7.113291661337227
34	-3742.5855940293527	-3748.952075795127	3.1	-3742.5855940293527	-6.366481765774132
35	-3742.402921699531	-3748.7381477428326	3.1	-3742.402921699531	-6.335226043301422
36	-3741.879904344572	-3749.2027425561555	3.1	-3741.879904344572	-7.322838211583406
37	-3741.633616791087	-3748.5423515329453	3.1	-3741.633616791087	-6.908734741857881
38	-3741.3636483729324	-3748.1076152952387	3.1	-3741.3636483729324	-6.743966922306459
39	-3741.2837901194803	-3752.2860645280794	3.1	-3741.2837901194803	-11.002274408598906
40	-3740.9786313707114	-3747.774859473053	3.1	-3740.9786313707114	-6.796228102341386
41	-3740.9321933329884	-3749.4677440651913	3.2	-3740.9321933329884	-8.535550732203035
42	-3740.7040472884173	-3748.3266644772307	3.2	-3740.7040472884173	-7.6226171888135426
43	-3740.6117833673284	-3747.5142820066553	3.3	-3740.6117833673284	-6.90249863932678
44	-3740.5765975268214	-3747.574313754948	3.3	-3740.5765975268214	-6.997716228126779
45	-3740.5307913721904	-3747.292761612672	3.3	-3740.5307913721904	-6.761970240481788
46	-3740.4823578302953	-3747.404756006474	3.4	-3740.4823578302953	-6.922398176178755
47	-3740.3507876946574	-3747.139337283393	3.4	-3740.3507876946574	-6.788549588735756
48	-3740.3134402477194	-3747.1576833817753	3.5	-3740.3134402477194	-6.844243134056094
49	-3740.295379500165	-3747.6380679513813	3.3	-3740.295379500165	-7.342688451216596
50	-3740.274770568653	-3747.355254408397	3.4	-3740.274770568653	-7.080483839744015
51	-3740.2353388502106	-3749.393393547252	3.4	-3740.2353388502106	-9.158054697041251
52	-3740.224896875189	-3748.1136418249657	3.5	-3740.224896875189	-7.8887449497765285
53	-3740.2246237418494	-3747.741464465786	3.5	-3740.2246237418494	-7.516840723936576
54	-3740.1925401859135	-3749.26361780889	3.6	-3740.1925401859135	-9.071077622976842
55	-3740.173051935306	-3747.688259419749	3.6	-3740.173051935306	-7.5152074844433345
56	-3740.1010145357814	-3747.0681535358985	3.6	-3740.1010145357814	-6.967139000116968
57	-3740.0916040366506	-3746.983397023261	3.7	-3740.0916040366506	-6.891792986610721
58	-3740.0856871201563	-3746.9358231578312	3.7	-3740.0856871201563	-6.850136037675045
59	-3740.0817661810547	-3746.825734056648	3.8	-3740.0817661810547	-6.743967875593079
60	-3740.0705366069	-3746.8457742500273	3.9	-3740.0705366069	-6.7752376431272054
61	-3740.0691194079272	-3746.7809741776737	3.9	-3740.0691194079272	-6.711854769746646
62	-3740.0689729409746	-3746.7784321826125	4.0	-3740.0689729409746	-6.709459241637719
