Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
0	-81876.92074445756	-81862.76680381766	-14.15394063989713	-81862.76680381766	0.999418580594839	1.0490660484131478	0.2504100104096346	0.24774046354905568	0.25710437143501913	0.2447451546062906	0.00952877279234238	1.0026933997999463	7.197618842625839E-5	0.008474254070501269	-0.2474687035291363	20.48371034222126	3.996696656256871	3.511232190519734	9.0741718328751	0.18967819813476222	-3.0	-84.0	63.0	25.0	4.0	
1	-81876.92074445756	-81862.76680381766	-14.15394063989713	-81862.76680381766	0.999418580594839	1.0490660484131478	0.2504100104096346	0.24774046354905568	0.25710437143501913	0.2447451546062906	0.00952877279234238	1.0026933997999463	7.197618842625839E-5	0.008474254070501269	-0.2474687035291363	20.48371034222126	3.996696656256871	3.511232190519734	9.0741718328751	0.18967819813476222	-3.0	-84.0	63.0	25.0	4.0	
2	-81882.88800567924	-81862.1430436264	-20.744962052840354	-81862.1430436264	0.9729294298477105	1.0490660484131478	0.2504100104096346	0.25211914985308104	0.2527256851309938	0.2447451546062906	0.12891480099303607	1.0348736234778009	0.010517643520328841	0.09863783890236368	-2.7772419307812086	42.00028474259488	40.54587789249995	14.892963705982803	4.611964645445528	0.29835278365234624	-8.0	-69.0	56.0	22.0	4.0	
3	-81882.88800567924	-81862.1430436264	-20.744962052840354	-81862.1430436264	0.9729294298477105	1.0490660484131478	0.2504100104096346	0.25211914985308104	0.2527256851309938	0.2447451546062906	0.12891480099303607	1.0348736234778009	0.010517643520328841	0.09863783890236368	-2.7772419307812086	42.00028474259488	40.54587789249995	14.892963705982803	4.611964645445528	0.29835278365234624	-8.0	-69.0	56.0	22.0	4.0	
4	-81878.29428947339	-81861.2482258217	-17.046063651675947	-81861.2482258217	1.016691671574358	1.0490660484131478	0.2504100104096346	0.25211914985308104	0.2527256851309938	0.2447451546062906	0.009106378459767134	0.9988210129732721	3.686271216010541E-5	0.006078449309541733	-1.6696140929706478	17.37950259139153	18.870731586440908	11.228154048860848	10.411369819012297	0.41004173173097785	-10.0	-78.0	53.0	36.0	4.0	
5	-81878.29428947339	-81861.2482258217	-17.046063651675947	-81861.2482258217	1.016691671574358	1.0490660484131478	0.2504100104096346	0.25211914985308104	0.2527256851309938	0.2447451546062906	0.009106378459767134	0.9988210129732721	3.686271216010541E-5	0.006078449309541733	-1.6696140929706478	17.37950259139153	18.870731586440908	11.228154048860848	10.411369819012297	0.41004173173097785	-10.0	-78.0	53.0	36.0	4.0	
6	-81880.61281891265	-81860.61815317217	-19.994665740485654	-81860.61815317217	1.011987342151788	1.0490660484131478	0.2504100104096346	0.25211914985308104	0.2527256851309938	0.2447451546062906	0.01916635411749381	0.9902881140886574	2.647356082235832E-4	0.016339553486832824	-1.984846335646256	50.93783452197192	18.853771874407144	16.161440444382002	14.030026661655938	0.0584996639578723	6.0	-93.0	56.0	32.0	4.0	
7	-81880.61281891265	-81860.61815317217	-19.994665740485654	-81860.61815317217	1.011987342151788	1.0490660484131478	0.2504100104096346	0.25211914985308104	0.2527256851309938	0.2447451546062906	0.01916635411749381	0.9902881140886574	2.647356082235832E-4	0.016339553486832824	-1.984846335646256	50.93783452197192	18.853771874407144	16.161440444382002	14.030026661655938	0.0584996639578723	6.0	-93.0	56.0	32.0	4.0	
8	-81876.86492717969	-81857.27396066638	-19.59096651330155	-81857.27396066638	0.9762057400756871	1.0947938554207677	0.2494091145615607	0.25211914985308104	0.24840253105492083	0.2500692045304375	0.11167228344105475	1.0287488180573796	0.005766748004643806	0.07361615745645575	-1.0216255389325246	4.009475540045705	22.458810308151303	29.26223598486334	4.272283261210602	0.18025182750885585	-27.0	-73.0	73.0	28.0	4.0	
9	-81876.86492717969	-81857.27396066638	-19.59096651330155	-81857.27396066638	0.9762057400756871	1.0947938554207677	0.2494091145615607	0.25211914985308104	0.24840253105492083	0.2500692045304375	0.11167228344105475	1.0287488180573796	0.005766748004643806	0.07361615745645575	-1.0216255389325246	4.009475540045705	22.458810308151303	29.26223598486334	4.272283261210602	0.18025182750885585	-27.0	-73.0	73.0	28.0	4.0	
10	-81877.55321685535	-81856.84617931143	-20.707037543924116	-81856.84617931143	0.9882487764814216	1.0947938554207677	0.24691810111936224	0.25211914985308104	0.25089354449711926	0.2500692045304375	0.1166863256621427	1.0159310440196923	0.007892920481497867	0.08884507707703185	-5.5226197731996365	15.385120616949896	7.3973549232108455	9.285055693840757	7.945926459176828	0.2460538258837858	-37.0	-67.0	76.0	31.0	2.0	
11	-81877.55321685535	-81856.84617931143	-20.707037543924116	-81856.84617931143	0.9882487764814216	1.0947938554207677	0.24691810111936224	0.25211914985308104	0.25089354449711926	0.2500692045304375	0.1166863256621427	1.0159310440196923	0.007892920481497867	0.08884507707703185	-5.5226197731996365	15.385120616949896	7.3973549232108455	9.285055693840757	7.945926459176828	0.2460538258837858	-37.0	-67.0	76.0	31.0	2.0	
12	-81871.66286223743	-81853.24671057353	-18.416151663898184	-81853.24671057353	0.9918773238588492	1.0947938554207677	0.24735714438443995	0.24686509334604914	0.2548648614577652	0.25091290081174566	0.008528962891096054	0.9975714035325548	5.834862800332385E-5	0.007631720260719535	-1.6834707287015116	43.18899159469002	27.631728831094694	4.330382385785835	9.032621143184656	0.2584044399709544	-59.0	-46.0	87.0	19.0	4.0	
13	-81871.66286223743	-81853.24671057353	-18.416151663898184	-81853.24671057353	0.9918773238588492	1.0947938554207677	0.24735714438443995	0.24686509334604914	0.2548648614577652	0.25091290081174566	0.008528962891096054	0.9975714035325548	5.834862800332385E-5	0.007631720260719535	-1.6834707287015116	43.18899159469002	27.631728831094694	4.330382385785835	9.032621143184656	0.2584044399709544	-59.0	-46.0	87.0	19.0	4.0	
14	-81862.98367992991	-81850.58360988744	-12.400070042469014	-81850.58360988744	1.0104862412595867	1.0713310697394536	0.25209522959441283	0.2421270081360763	0.25477016884293996	0.2510075934265709	0.028181690758454586	0.9970086570239889	0.0012493753324472978	0.03557525641904683	-3.6241190993258767	6.6742256618507305	1.6212621457880954	2.177958512963556	2.563424418576134	0.29567959064839494	-66.0	-37.0	103.0	-1.0	6.0	
