Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-4108.095235757458	-4115.35251917824	N	-4108.095235757458	-7.257283420782343
1	-4096.577044972039	-4113.94836227711	2.0	-4096.577044972039	-17.371317305070885
2	-4077.669208621307	-4077.732552843102	3.0	-4077.669208621307	-0.0633442217950102
3	-3984.2356753206573	-3991.457880052783	4.0	-3984.2356753206573	-7.2222047321257
4	-3652.6029849076017	-3659.5500269017384	4.8	-3652.6029849076017	-6.947041994136933
5	-3569.863630995829	-3572.557909673338	2.9	-3569.863630995829	-2.6942786775089846
6	-3421.6098095269217	-3428.860140766906	2.3	-3421.6098095269217	-7.25033123998453
7	-3382.316532896457	-3391.730462549722	2.3	-3382.316532896457	-9.413929653264978
8	-3093.2366827780043	-3104.4056240806676	2.5	-3093.2366827780043	-11.168941302663558
9	-2928.768331553542	-2933.6638793174243	2.7	-2928.768331553542	-4.895547763882195
10	-2910.676955376831	-2912.8909835527456	2.7	-2910.676955376831	-2.2140281759149123
11	-2810.862240495318	-2815.36559126348	2.5	-2810.862240495318	-4.503350768161942
12	-2799.524810002632	-2802.382343508948	2.4	-2799.524810002632	-2.8575335063160416
13	-2796.703906227256	-2803.1177187409303	2.4	-2796.703906227256	-6.413812513673978
14	-2765.4586242727096	-2769.411118513243	2.4	-2765.4586242727096	-3.952494240533396
15	-2734.2030470550717	-2736.99339256402	2.5	-2734.2030470550717	-2.7903455089482474
16	-2731.148000933814	-2738.029575662036	2.6	-2731.148000933814	-6.8815747282224695
17	-2722.268923936792	-2729.2284443154267	2.6	-2722.268923936792	-6.9595203786346715
18	-2683.686469474281	-2686.5435221825956	2.6	-2683.686469474281	-2.857052708314902
19	-2671.1020937082158	-2677.5296799703215	2.8	-2671.1020937082158	-6.427586262105772
20	-2659.2483118122227	-2664.2877596411404	2.9	-2659.2483118122227	-5.039447828917842
21	-2627.716261224081	-2632.9790047575093	3.0	-2627.716261224081	-5.262743533428247
22	-2618.119533280145	-2624.63763871682	3.1	-2618.119533280145	-6.518105436675219
23	-2616.729543543708	-2622.927203499522	3.1	-2616.729543543708	-6.197659955813745
24	-2616.1684542362864	-2624.5877341753417	3.2	-2616.1684542362864	-8.419279939055114
25	-2614.4691579767186	-2620.1513216710628	3.3	-2614.4691579767186	-5.682163694344332
26	-2614.413425276826	-2621.1799464096785	3.4	-2614.413425276826	-6.7665211328528105
27	-2610.9342657896877	-2617.0254006510513	3.4	-2610.9342657896877	-6.09113486136354
28	-2610.54421227288	-2616.8149347264402	3.5	-2610.54421227288	-6.27072245356031
29	-2603.5960379519092	-2608.536047656876	3.7	-2603.5960379519092	-4.940009704966456
30	-2601.678740247747	-2609.396393085143	3.8	-2601.678740247747	-7.717652837395877
31	-2596.4099535638175	-2604.3155824593646	3.9	-2596.4099535638175	-7.905628895547178
32	-2593.983840917678	-2601.179336578364	3.9	-2593.983840917678	-7.195495660685944
33	-2593.4661958540046	-2599.637624078267	4.0	-2593.4661958540046	-6.17142822426222
34	-2593.4485874560814	-2600.0165674036457	4.0	-2593.4485874560814	-6.567979947564124
35	-2591.8551814056186	-2599.1475136803365	4.1	-2591.8551814056186	-7.292332274717971
36	-2591.395777280424	-2597.2705146124963	4.2	-2591.395777280424	-5.874737332072118
37	-2591.037252369286	-2596.518411706051	4.3	-2591.037252369286	-5.481159336765251
38	-2590.5531657235124	-2597.2533466830682	4.3	-2590.5531657235124	-6.700180959555628
39	-2590.3020521073263	-2596.425032112488	4.3	-2590.3020521073263	-6.122980005162131
40	-2590.2453090067047	-2596.670200333624	4.4	-2590.2453090067047	-6.424891326919431
41	-2590.174391861432	-2596.4510320476406	4.5	-2590.174391861432	-6.276640186208635
42	-2590.0989178438526	-2596.267067670531	4.5	-2590.0989178438526	-6.168149826678507
43	-2590.027845393698	-2595.979855128854	4.6	-2590.027845393698	-5.952009735156205
44	-2590.0096481045857	-2596.0830079403904	4.7	-2590.0096481045857	-6.07335983580478
45	-2589.961237355019	-2596.3763931985814	4.7	-2589.961237355019	-6.415155843562303
46	-2589.9604818219286	-2596.1919088579034	4.8	-2589.9604818219286	-6.23142703597467
47	-2589.953750829887	-2598.255347751288	4.9	-2589.953750829887	-8.30159692140063
48	-2589.9046572222255	-2596.0056699343445	5.0	-2589.9046572222255	-6.101012712119095
49	-2589.8855201733204	-2596.178646363838	5.2	-2589.8855201733204	-6.293126190517754
50	-2589.8855076068135	-2596.192074162745	5.3	-2589.8855076068135	-6.3065665559317505
51	-2589.8845017664676	-2595.9235971685935	5.3	-2589.8845017664676	-6.039095402125936
52	-2589.873450641911	-2596.0021215437346	5.4	-2589.873450641911	-6.128670901823837
53	-2589.855542687723	-2595.9562856695343	5.5	-2589.855542687723	-6.100742981811251
54	-2589.8496366266204	-2596.5890248709775	5.6	-2589.8496366266204	-6.739388244357055
55	-2589.8462508758853	-2595.78598367336	5.7	-2589.8462508758853	-5.939732797474578
56	-2589.8343664704157	-2595.799375698787	5.7	-2589.8343664704157	-5.965009228371482
57	-2589.8311314934213	-2595.9548723976327	5.8	-2589.8311314934213	-6.123740904211312
58	-2589.830196695758	-2596.6377475544	5.9	-2589.830196695758	-6.807550858641946
59	-2589.829825585201	-2595.7880977597997	6.0	-2589.829825585201	-5.9582721745987275
60	-2589.8296275793386	-2595.7938820947434	6.1	-2589.8296275793386	-5.964254515404534
61	-2589.829364449998	-2597.4705217707656	6.2	-2589.829364449998	-7.641157320767606
62	-2589.828692233446	-2597.552635546271	6.3	-2589.828692233446	-7.723943312825348
63	-2589.827141310157	-2595.858026638785	6.3	-2589.827141310157	-6.030885328627777
64	-2589.8271411657606	-2595.778541984231	6.4	-2589.8271411657606	-5.951400818470368
