"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-3037.15149575846,5.2609163393553,0.000000000134336819853889,13.1054579654808
"2","GTR","relaxed_log_normal","yule",-3024.79900150078,4.09228462102039,0.0000311039221975564,11.1664740546826
"3","GTR","strict","birth_death",-3041.67663062051,5.72819935321005,1.45530480279647e-12,12.7692292375987
"4","GTR","strict","yule",-3032.14503989932,4.87556732760881,0.0000000200664809244505,6.31125375314634
"5","HKY","relaxed_log_normal","birth_death",-3035.65608053043,4.62237254275484,0.000000000599301886450445,8.66359539172551
"6","HKY","relaxed_log_normal","yule",-3031.22617819701,5.03953285149782,0.000000050295344073003,7.31251975520483
"7","HKY","strict","birth_death",-3046.75993372739,5.63028465217319,9.02201351723774e-15,11.3886090062325
"8","HKY","strict","yule",-3025.25410657498,3.74974269715682,0.0000197317468268613,4.60466447742531
"9","JC69","relaxed_log_normal","birth_death",-3030.54941025025,4.61299261727249,0.0000000989565095779187,5.67182220656077
"10","JC69","relaxed_log_normal","yule",-3014.42088273943,2.02537682003734,0.999942131967671,6.46720228155164
"11","JC69","strict","birth_death",-3027.60458367194,4.05878676416741,0.00000188090257693177,6.82720249151071
"12","TN93","relaxed_log_normal","birth_death",-3027.14308716249,4.02434219709451,0.00000298395101165051,5.48413917451403
"13","TN93","relaxed_log_normal","yule",-3028.17241192326,3.26139906506627,0.00000106601085052505,5.87992360822207
"14","TN93","strict","birth_death",-3028.30735561123,3.75118283638,0.00000093144309211122,7.06972865436229
"15","TN93","strict","yule",-3041.20358548393,5.23014730434683,2.33558057792536e-12,8.78257660427661
