#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin" name="distribution" x="@birthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment_twin" name="distribution">
#            <parameter id="ucldStdev.c:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment_twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment_twin">
#                <LogNormal S="@ucldStdev.c:alignment_twin" id="LogNormalDistributionModel.c:alignment_twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="8" id="rateCategories.c:alignment_twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-3906.1115963924804	-3903.839251482252	-2.272344910227986	-3903.839251482252	1.2000979162318255	0.1	1.0498287941476239	0.006740759715949084	0.07776676890792532	-3.0917090553487876	1.0
1000	-3013.5953250388793	-3011.209667625572	-2.3856574133071833	-3011.209667625572	0.9604067059494041	0.15305638406404404	1.0200126979256068	0.011096976559157512	0.10253928151028227	-2.870131229983276	1.266780393108232
2000	-3013.037553471412	-3010.022124719235	-3.015428752177497	-3010.022124719235	0.89458065157864	0.07127920275149349	1.059309037212254	0.0019432973366433567	0.042414547698571066	-4.065873514133176	0.5233641667605381
3000	-3012.959637341178	-3010.0847937089184	-2.8748436322597564	-3010.0847937089184	1.008485502958152	0.047571173585661715	0.9966317528138485	8.579565801924607E-4	0.02938248106705748	-4.1735430039787635	0.5348926575513977
4000	-3013.6118592165258	-3011.737270028506	-1.8745891880196879	-3011.737270028506	0.8665967408453666	0.045683596314053526	1.0056654707389525	7.680379998253199E-4	0.027412359426662293	-3.196871687930992	0.7677362280481198
5000	-3011.7869033067027	-3009.89717702276	-1.8897262839427114	-3009.89717702276	0.9264795091654378	0.06704453970731494	1.0167556323806077	0.0043384873555079514	0.06669067794011596	-2.979457769861186	0.9923392865699205
6000	-3010.658901175466	-3007.9258269299735	-2.733074245492291	-3007.9258269299735	0.822426262029203	0.2204988253683442	1.0395825222740591	0.07899929845019957	0.2782103648175424	-2.8728653488566223	1.9292626039202827
7000	-3011.2490032893606	-3007.2609508834403	-3.988052405920281	-3007.2609508834403	1.3034660467913186	0.28740898229012685	0.8830503164913006	0.08887294140250257	0.2734305139845047	-3.8306277849844506	0.7344672379103253
8000	-3014.186919834253	-3012.489400459016	-1.697519375236773	-3012.489400459016	0.7088769892971104	0.17811245093304598	1.0976597455819959	0.017803307273987917	0.1275677542924309	-2.0465835636278022	1.5669687714737217
9000	-3009.569536544117	-3006.5762000773802	-2.9933364667366544	-3006.5762000773802	0.7133331624294242	0.4292560666176733	1.1576170005546271	0.13174144879562152	0.3461792238638512	-2.2797989026195005	1.614696232096271
10000	-3014.6890102431644	-3011.3841191344404	-3.304891108723986	-3011.3841191344404	0.6272241330747919	0.6608798429823316	1.5530787672155257	0.42291386835158823	0.4851025169663176	-1.7861787337612696	2.9177874648629327
11000	-3008.7364684622817	-3006.655324878239	-2.0811435840427293	-3006.655324878239	0.7088787868598452	0.2736587711039226	1.2215244646972532	0.07058273634260391	0.22388570118087714	-1.9822944737936325	2.0414836610693023
12000	-3013.3246712093987	-3009.1669858073483	-4.157685402050364	-3009.1669858073483	1.0401361202160395	0.2444963857246263	0.9327790706999743	0.013526407615567228	0.13186590915266388	-4.187076140946097	2.066995665106518
13000	-3015.788635763058	-3012.714774619156	-3.0738611439023904	-3012.714774619156	0.7986761932426365	0.1859933609132226	0.9609184896892305	0.02090007551203013	0.15797062545722373	-3.3823558519791974	2.768684420563398
