Sample	posterior	ESS(posterior)	likelihood	prior	
0	-3020.1059305626877	3.9	-3013.769366549561	-6.336564013126773	
1	-3020.1059305626877	3.9	-3013.769366549561	-6.336564013126773	
2	-3020.1059305626877	3.9	-3013.769366549561	-6.336564013126773	
3	-3020.1059305626877	3.9	-3013.769366549561	-6.336564013126773	
4	-3018.6456649028783	3.9	-3012.8847786316287	-5.760886271249536	
5	-3018.496541976209	3.9	-3012.857627194688	-5.638914781520773	
6	-3013.7528652338588	3.9	-3007.8099764740205	-5.942888759838225	
7	-3013.7528652338588	3.9	-3007.8099764740205	-5.942888759838225	
8	-3013.7528652338588	3.9	-3007.8099764740205	-5.942888759838225	
