Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-9268.176528908743	-9253.725366823674	N	-9268.176528908743	14.451162085069965
1	-9185.485135314659	-9176.130249585585	2.0	-9185.485135314659	9.354885729073679
2	-9010.130310907622	-8984.051649833904	3.0	-9010.130310907622	26.078661073718287
3	-8934.222547490766	-8914.826346568008	4.0	-8934.222547490766	19.396200922758183
4	-7827.823556890974	-7812.07772218484	4.6	-7827.823556890974	15.745834706133753
5	-7784.193869537069	-7767.034976317862	3.1	-7784.193869537069	17.15889321920676
6	-7282.648071679568	-7270.597546014034	2.4	-7282.648071679568	12.050525665533199
7	-6606.311940616787	-6604.4747017558975	2.5	-6606.311940616787	1.8372388608898886
8	-6498.267361126802	-6497.567114204006	2.5	-6498.267361126802	0.7002469227957182
9	-6368.531612430461	-6366.009648533502	2.5	-6368.531612430461	2.5219638969595652
10	-4933.377051724733	-4947.872575429677	2.8	-4933.377051724733	-14.495523704944443
11	-4785.899314312667	-4813.863888948102	2.6	-4785.899314312667	-27.964574635434865
12	-4668.239985877163	-4681.368582609121	2.5	-4668.239985877163	-13.128596731957861
13	-4665.806698246497	-4680.771349145505	2.5	-4665.806698246497	-14.964650899007854
14	-4549.0433024904805	-4556.494854734219	2.4	-4549.0433024904805	-7.45155224373825
15	-4351.733176458872	-4358.362222782833	2.5	-4351.733176458872	-6.629046323960765
16	-4291.242198382602	-4303.525265152496	2.5	-4291.242198382602	-12.283066769894777
17	-4184.3840795433425	-4191.185190875259	2.4	-4184.3840795433425	-6.801111331916119
18	-4032.392910864921	-4043.1820878974117	2.4	-4032.392910864921	-10.789177032491033
19	-3941.891280204278	-3947.411492161509	2.5	-3941.891280204278	-5.520211957231512
20	-3895.233085371841	-3899.6445320116172	2.6	-3895.233085371841	-4.411446639776454
21	-3873.187858461835	-3880.7746341874067	2.6	-3873.187858461835	-7.586775725571743
22	-3866.844653438413	-3876.764265428216	2.7	-3866.844653438413	-9.919611989802888
23	-3840.122481925732	-3845.542988601168	2.8	-3840.122481925732	-5.420506675435952
24	-3837.331423728208	-3845.2392966115067	2.8	-3837.331423728208	-7.907872883298949
25	-3833.4409160773002	-3842.468726507916	2.9	-3833.4409160773002	-9.027810430615883
26	-3822.897002948524	-3829.478351370756	2.9	-3822.897002948524	-6.581348422232088
27	-3816.6009821643643	-3823.8990962039657	3.0	-3816.6009821643643	-7.298114039601437
28	-3813.030968822717	-3819.897556023694	3.0	-3813.030968822717	-6.866587200976844
29	-3808.06457528899	-3813.365492158069	3.2	-3808.06457528899	-5.3009168690792805
30	-3791.9726835699576	-3797.760750795204	3.3	-3791.9726835699576	-5.78806722524649
31	-3791.3853068100593	-3798.0816710940812	3.4	-3791.3853068100593	-6.696364284021688
32	-3788.3794320369802	-3793.722941144423	3.4	-3788.3794320369802	-5.343509107442957
33	-3787.0496136259903	-3797.700350830679	3.5	-3787.0496136259903	-10.650737204688438
34	-3780.2887343494067	-3785.787302678429	3.6	-3780.2887343494067	-5.498568329022515
35	-3773.138423291496	-3778.7510529197934	3.6	-3773.138423291496	-5.61262962829719
36	-3772.534827684281	-3781.317485781179	3.7	-3772.534827684281	-8.78265809689788
37	-3769.440367584523	-3775.096511609228	3.8	-3769.440367584523	-5.656144024705001
38	-3753.9529352473223	-3760.221784521044	3.9	-3753.9529352473223	-6.268849273721609
39	-3753.7079101220943	-3762.7576607293477	4.0	-3753.7079101220943	-9.049750607253163
40	-3751.3174519429185	-3757.890235746213	4.1	-3751.3174519429185	-6.572783803294401
41	-3747.4630698140654	-3753.5565223614367	4.1	-3747.4630698140654	-6.093452547371246
42	-3745.9484655161205	-3752.3055451134246	4.2	-3745.9484655161205	-6.3570795973041445
